player_id,number,name,position,nationality,age,birth_date,height,weight,total_points,total_points_average_by_match,attack_points,attack_points_efficiency,attack_points_avg_points,block_points,block_points_success,block_points_avg_points,serve_points,serve_points_success,serve_points_avg_points
150356,2,Germanier Sabrina Soledad,Setter,Argentina,23,07/06/1999,174,70,0,0.00,0,,0.0,0,0.00,0.00,0,0.00,0.00
122486,3,Nizetich Paula Yamila,Outside Hitter,Argentina,33,27/01/1989,182,79,88,9.78,84,34.85,9.33,2,9.09,0.22,2,2.06,0.22
136627,4,Bulaich Simian Daniela,Outside Hitter,Argentina,25,05/09/1997,178,67,85,9.44,78,30.35,8.67,5,14.71,0.56,2,2.41,0.22
150349,5,Salinas Candela Sol,Outside Hitter,Argentina,22,23/05/2000,183,64,21,2.33,19,28.36,2.11,1,11.11,0.11,1,4.00,0.11
181255,6,Verdier Lucia,Outside Hitter,Argentina,23,10/11/1999,180,65,0,0.0,0,,0.0,0,0.0,0.0,0,0.0,0.0
144820,7,Mercado Erika,Opposite spiker,Argentina,30,27/02/1992,185,82,123,13.67,109,37.20,12.11,9,16.67,1.00,5,6.33,0.56
170485,9,Cugno Bianca,Opposite spiker,Argentina,19,22/04/2003,191,72,32,3.56,30,39.47,3.33,1,10.00,0.11,1,6.67,0.11
124660,10,Sosa Emilce,Middle blocker,Argentina,35,11/09/1987,177,72,3,0.33,0,0.00,0.00,0,0.00,0.00,3,9.68,0.33
122484,12,Rizzo Tatiana Soledad,Libero,Argentina,35,30/12/1986,178,62,0,0.00,0,,0.0,0,0.0,0.0,0,0.0,0.0
161529,13,Farriol Bianca,Middle blocker,Argentina,20,18/12/2001,185,77,51,5.67,40,44.94,4.44,10,11.36,1.11,1,1.28,0.11
161521,14,Mayer Victoria,Setter,Argentina,21,19/06/2001,178,66,9,1.00,5,16.13,0.56,1,2.78,0.11,3,2.59,0.33
150345,17,Herrera Rodriguez Candelaria Lucia,Middle blocker,Argentina,23,28/01/1999,182,71,81,9.00,53,42.06,5.89,24,20.51,2.67,4,3.64,0.44
